k,inc_R_mean_s_batches,inc_X_jobs_per_s_batches,inc_U_A_batches,inc_U_B_batches,inc_U_P_batches
40,3.2763876278587674,0.3333458975018169,0.23427081140743017,0.24017578441411175,0.22492546707242483
41,3.27558200941083,0.3334336810618064,0.2346606414724954,0.24023001559966556,0.22500366740859667
42,3.2761190366176938,0.33383043436893695,0.23480269408440693,0.24051238316253065,0.2252301269521351
43,3.2767932368593455,0.3338763922468796,0.23450433969446582,0.2405102129722969,0.22528979864561413
44,3.277710459046854,0.33359413535299826,0.23458628774816923,0.24030563636895666,0.22511528050520432
45,3.277273572336523,0.3337011227226408,0.23476544799545304,0.24034833428372032,0.22517379429687973
46,3.277351695702236,0.33377644228256265,0.23475930869326458,0.2404200299551184,0.22521485948297587
47,3.274555399352985,0.3338603287227564,0.23445970129795665,0.24050053136001365,0.22528517618320304
48,3.278616213938465,0.3340973550918005,0.23397025273345537,0.24067412655997347,0.22542229621128793
49,3.2796907231606984,0.33415444173674774,0.23427769799208084,0.2407418897239156,0.22542943699515464
50,3.278646818809442,0.33419361397611796,0.2342332594141155,0.24082585953222832,0.22544909943970623
51,3.2786872006875925,0.334009912673046,0.23425331504042785,0.2406447958056856,0.2253269038039918
52,3.277853618040759,0.33398649952894,0.23412078172401354,0.2405945149517312,0.22531905477372824
53,3.2789007412913374,0.33409898923438414,0.23475924125184155,0.2406665914515116,0.22537840778303023
54,3.278034634792791,0.33407985288699293,0.2345048969273344,0.24062248853298993,0.22539347793845776
55,3.2772813265884504,0.3340109791556006,0.23469018813743384,0.24054952188920498,0.22537899751196047
56,3.277690373768333,0.33391719747329096,0.23473847585540136,0.24049716813715558,0.22532565501619978
57,3.2765875948905,0.33393061487178327,0.2346502227703923,0.24053003051208774,0.22530478401787346
58,3.276096279358002,0.3338152903525396,0.2345961877176056,0.24049056461336607,0.22521608430306078
59,3.2744997610455164,0.33358270216129116,0.2343721850865676,0.24032253414836172,0.22506985057730497
60,3.276597759328686,0.3335159879697961,0.2342751675207548,0.24028305136924516,0.22503015853873845
61,3.278840675307843,0.33369256560243316,0.23423598886386532,0.2403745084823579,0.22514198876282412
62,3.2793526600437155,0.3335470300059103,0.234309939511068,0.24030417548459393,0.22505351669548965
63,3.2816418378542296,0.33348285895968366,0.2342987716809655,0.24024195939974513,0.22501310969426463
64,3.281060504889899,0.33361890446900033,0.23425108869801556,0.24032412261221942,0.22509946987508384
