idx,R_mean_s,X_jobs_per_s,N_mean,U_A,U_B,U_P
36,3.4798193817,0.3517654417,1.2240802019,0.2597904188,0.3494069514,0.2750197229
37,2.9648820114,0.4014331047,1.1902017910,0.2876952446,0.3178495029,0.2209806117
38,4.2848748351,0.3617668505,1.5501256738,0.2586148418,0.4636169029,0.2920853193
39,3.4142328075,0.4375374363,1.4938546694,0.3770357608,0.3513251351,0.2561139788
40,3.9415958191,0.3867866219,1.5245565319,0.2956700938,0.2672784568,0.3484031568
41,3.2441022226,0.3986296292,1.2931952660,0.3118173986,0.3863344715,0.3501060608
42,3.9245799579,0.3382798833,1.3276064502,0.2303829892,0.4308950484,0.1987298676
43,3.0822583759,0.2771638969,0.8542907427,0.2226153255,0.2493870990,0.1850458127
44,2.8204312016,0.3088888355,0.8711997095,0.2009258909,0.2070738852,0.2699878023
45,2.4901664544,0.2953422922,0.7354514686,0.2239970501,0.1980660457,0.2154067644
46,2.4509537052,0.2801570731,0.6866520163,0.1990546164,0.2184649896,0.2175642878
47,3.2049978632,0.4397101901,1.4092702197,0.3639593249,0.3752227737,0.2841398234
48,3.5979857454,0.3068093399,1.1038956314,0.2387793681,0.3103869666,0.2237735335
49,2.4965666922,0.3096610044,0.7730893495,0.1824207692,0.2002394163,0.2404941800
50,2.6575863856,0.3035463288,0.8067005908,0.2086502232,0.2230296803,0.2233859481
51,2.7596294127,0.2945157999,0.8127544638,0.2006343375,0.2781811637,0.1847321984
52,3.2714062132,0.2726892016,0.8920771484,0.2147737465,0.2694853750,0.1988247955
53,2.9536856736,0.3799183065,1.1221592592,0.3004076946,0.2499911820,0.3126265637
54,3.0896705676,0.3211535413,0.9922586443,0.2635175434,0.2776509287,0.2352016235
55,3.1933853185,0.3159882214,1.0090721472,0.2531248650,0.2886442030,0.2154695372
56,2.9596914273,0.3850553505,1.1396450199,0.2834883152,0.3209578224,0.2944802176
57,2.8555015769,0.3408806774,0.9733853119,0.2773014449,0.2832299409,0.2438844326
58,3.2182364031,0.3635045571,1.1698435983,0.3137814420,0.2410074496,0.2563415996
59,3.0402077404,0.3711521428,1.1283796174,0.3011531927,0.3155408404,0.2982707288
60,2.8307702586,0.3460093094,0.9794728623,0.2862603160,0.2853349490,0.2637308280
61,2.9610519953,0.3170585664,0.9388269007,0.2568559366,0.2127978890,0.2210067484
62,3.6066631387,0.3626430788,1.3079314248,0.2688559167,0.3521450075,0.2844013627
63,3.1331644413,0.2938258626,0.9206047446,0.2380795514,0.2120862964,0.1874894588
64,2.9439029242,0.3242686701,0.9546154861,0.2379061192,0.3093692496,0.2258756474
