idx,R_mean_s,X_jobs_per_s,N_mean,U_A,U_B,U_P
33,3.1206596753,0.3135913352,0.9786118341,0.2238756749,0.3105999085,0.1207115984
34,3.4434978956,0.4431335927,1.5259295938,0.3315985899,0.5000378124,0.1722560667
35,2.7462861161,0.4645833761,1.2758788755,0.3074756512,0.2288751171,0.2022150553
36,2.9381381946,0.4884512646,1.4351373169,0.3566345369,0.5210120191,0.1530165680
37,2.7323318093,0.3135974481,0.8568522829,0.2397687725,0.3186325929,0.1220018401
38,4.5338180706,0.3647269528,1.6536056496,0.2595149793,0.3534086622,0.1630834742
39,2.6015485804,0.2435239895,0.6335394892,0.1662353719,0.2186799344,0.1067701895
40,3.4602729428,0.3974951838,1.3754418295,0.2669659913,0.4080832752,0.1447198018
41,3.8406988069,0.4990750899,1.9167971024,0.3700179811,0.4107911962,0.2186333968
42,3.6473582777,0.4263170969,1.5549311922,0.3029530347,0.3559645568,0.1774940748
43,5.3890285653,0.4930130820,2.6568615820,0.3541245255,0.3898570597,0.1810554953
44,5.3794997041,0.3020599152,1.6249312245,0.2212482720,0.4493122733,0.1190336770
45,2.9840650506,0.5049915245,1.5069275592,0.3361112787,0.3365807764,0.2083855867
46,2.9324472325,0.4520079915,1.3254895836,0.3372578679,0.3293704533,0.1670931153
47,2.7845935797,0.5238345640,1.4586663637,0.3741692916,0.3724032965,0.1771430097
48,2.5003338187,0.1925218308,0.4813688443,0.1406508952,0.1613908167,0.0813104639
49,4.1141498436,0.6891973899,2.8354613338,0.4527732185,0.5746364527,0.2793679225
50,2.5973494258,0.3251126643,0.8444311920,0.2240044753,0.2712318510,0.1275161994
51,2.3443271905,0.3352916480,0.7860333272,0.2170137148,0.2378892172,0.1435979111
52,3.4544223226,0.5348241440,1.8475084617,0.3556634680,0.4284443238,0.2177314446
53,2.7975376747,0.2481180021,0.6941194585,0.1788825761,0.2657025397,0.1068266216
54,3.8987497985,0.4876204191,1.9011100109,0.3166430662,0.3867835519,0.1722132462
55,3.2415590926,0.3482626005,1.1289137992,0.2509987812,0.3368697155,0.1330261278
56,2.9453549102,0.4710643605,1.3874517273,0.3343926334,0.3251415707,0.1624792902
57,3.7735056511,0.5238981655,1.9769326882,0.4062785781,0.5092144839,0.2332080540
58,3.7813746243,0.4519675283,1.7090585427,0.3069061886,0.4709843243,0.2050643057
59,3.4708169090,0.6497927411,2.2553116331,0.4706714689,0.5764869343,0.2628433693
60,3.1731388753,0.4063644707,1.2894508996,0.2913218778,0.3820295730,0.1547491278
61,3.7656903252,0.3944885808,1.4855218320,0.2602086873,0.4198858911,0.1555183864
62,2.8427699528,0.3978201176,1.1309110770,0.2950512403,0.3156854283,0.1498838806
63,3.1301940706,0.5785649460,1.8110205635,0.3778900932,0.5353744064,0.2138568018
64,2.9800325736,0.4901070508,1.4605349760,0.3848579554,0.3487616745,0.2085173727
